city,vendor_id,brand_name,vendor_name,vertical,latitude,longitude
Lima,294045,La Martucha,La Martucha,restaurants,-12.0844001770019,-77.0894012451172
Lima,294164,Vega Market,Vega Market Malvinas Drinks,drinks,-12.043399810791001,-77.0500030517578
Lima,296703,Doble Extra Cheese Pizza,Doble Extra Cheese Pizza,restaurants,-11.9786996841431,-77.0721969604492
Lima,299454,,Diners Courier Tabernero,courier_business,-12.130499839782702,-77.0299987792969
Lima,206450,Hikari,Hikari La Mar,restaurants,-12.0748996734619,-77.0831985473633
Lima,206553,La Romana,La Romana San Borja Sur,restaurants,-12.1000003814697,-77.008796691894517
Lima,206857,El Mionka,El Mionka Maria Elena,restaurants,-12.1177997589111,-76.9972991943359
Lima,207188,Delicass,Delicass Begonias,restaurants,-12.0929002761841,-77.024299621582
Lima,207257,Oriunda,Oriunda,restaurants,-12.081600189209002,-76.9936981201172
Lima,207652,Popeyes,Popeyes Puruchuco,restaurants,-12.0418996810913,-76.931396484375
Lima,207748,Don Belisario,Don Belisario Ate,restaurants,-12.040800094604501,-76.9326019287109
Lima,207880,Roky's,Rokys Elmer Faucett,restaurants,-12.055999755859398,-77.0975036621094
Lima,207895,Deli Office Restaurante Delivery,Deli Office Restaurante Delivery Cineraria,restaurants,-12.096400260925302,-76.9636001586914
Lima,208225,Lucio Caffe,Lucio Caffe Jockey Plaza,restaurants,-12.085399627685598,-76.9755020141602
Lima,208232,Pollería El Parque,Polleria El Parque Montero Rosas,restaurants,-12.0743999481201,-77.0341033935547
Lima,208303,Tu Chicha Venezolana,Tu Chicha Venezolana,restaurants,-12.1131000518799,-77.0208969116211
Lima,208454,El Batán del Abuelo,El Batan Del Abuelo,restaurants,-12.0668001174927,-77.0976028442383
Lima,208576,Repshop,Repshop Express Angamos,groceries,-12.1100997924805,-76.9798965454102
Lima,209115,Pal' Carbón Pollería,Pal Carbon Polleria,restaurants,-12.0867004394531,-77.0425033569336
Lima,209165,Goffri Waffles & Milkshake,Goffri Waffles Milkshake,restaurants,-12.0940999984741,-77.0689010620117
Lima,219215,Inkafarma,Inkafarma Benavides,pharmacies,-12.0466003417969,-77.0438003540039
Lima,219260,Inkafarma,Inkafarma Los Eucaliptos,pharmacies,-12.0448999404907,-76.974403381347713
Lima,221189,El Enano,El Enano Sjm,restaurants,-12.1583003997803,-76.97509765625
Lima,221287,Popster Supercanchita,Popster Supercanchita,restaurants,-12.125699996948198,-76.9832000732422
Lima,236388,Aguaclara Dasso,Aguaclara Dasso,cross_vertical,-12.106499671935998,-77.0404968261719
Lima,238705,Pollería Kachito,Polleria Kachito Arica,restaurants,-12.059599876403801,-77.0427017211914
Lima,258775,Gustozzi,Gustozzi,restaurants,-12.1121997833252,-77.0031967163086
Lima,265517,La Iberica,La Iberica Mall Del Sur,groceries,-12.155699729919402,-76.9819030761719
Lima,266058,La Iberica,La Iberica Puruchuco,groceries,-12.0409002304077,-76.9319000244141
Lima,267162,Calle Brava Burger Club,Calle Brava Burger Club,restaurants,-12.0291004180908,-77.0971984863281
Lima,280679,Juicy Lucy,Juicy Lucy Wings Fries Sta Catalina,restaurants,-12.08899974823,-77.0201034545898
Lima,284471,Eat-courier,Eatcourier,courier_business,-12.1220998764038,-76.997200012207
Lima,290472,,Hot Grill,restaurants,-12.0101003646851,-77.071403503418
Lima,290758,Nuestra Sazón - Especialistas En Alitas,Nuestra Sazon Especialistas En Alitas,restaurants,-12.0753002166748,-77.100097656250014
Lima,292584,,Mobil Chorrillos,cross_vertical,-12.1844997406006,-77.0064010620117
Lima,294760,Vega Market,Vega Market Aviacion Drinks,drinks,-12.1077995300293,-77.0009994506836
Lima,206276,Panda Garden,Panda Garden,restaurants,-12.128199577331499,-76.9907989501953
Lima,206371,Trattoria Zarelle Pizzeria,Trattoria Zarelle Pizzeria Cuzco,restaurants,-12.089300155639702,-77.070396423339815
